,Comentarios,Depresivo,TweetPre,Idioma
1280,"@Miguel99370186 @carlo_lorcat @carreragonzalo Se han hecho miles y lo que más puede provocar es un pequeño sangrado, tú decisión si puede atentar contra la salud pública ya no es tuya, el bienestar de todos va por sobre cualquiera, lo otro tampoco es que vayan colocando torulas en todos los niños",0,se han hecho miles y lo que mas puede provocar es un pequeno sangrado tu decision si puede atentar contra la salud publica ya no es tuya el bienestar de todos va por sobre cualquiera lo otro tampoco es que vayan colocando torulas en todos los ninos,es
1281,@LaLigaenDirecto @RealBetis Más tontos no podemos ser,0,mas tontos no podemos ser,es
1282,"@RuriUmiUwU Y sí hay gente que se los compra
joder, como que hace hambre-",0,y si hay gente que se los compra joder como que hace hambre,es
1283,"Jajajaja , no será como en algún banco, que le paga a JUBILADOS, que los MISMOS portavalores , llevan los paquetes de DNI, envueltos, pero documentos al fin , para adquirir dólares.
Lo vi, y Me lo confirmo el mismo portavalores. 
https://t.co/B4e1RMxMF8",0,no sera como en algun banco que le paga jubilados que los mismos portavalores llevan los paquetes de dni envueltos pero documentos al fin para adquirir dolares lo vi y me lo confirmo el mismo portavalores,es
1284,@SacmexCDMX Correcto ya envié la información para generar el reporte.,0,correcto ya envie la informacion para generar el reporte,es
1285,"Juan es un cabeza d termo,ojala q no lo salven,asi lo comemos sandwich....jajaja re creido q los d afuera estan con el ....🤭#GranHermano2022",0,juan es un cabeza d termo ojala q no lo salven asi lo comemos sandwich re creido q los d afuera estan con el granhermano,es
1286,"De esta flaca jamás vas a leer algo bueno, por las es https://t.co/7KxZuU6KjJ",0,de esta flaca jamas vas leer algo bueno por las es,es
1287,Se licitó la compra de una motoniveladora destinada al mantenimiento de calles en el distrito https://t.co/yUGM53Ly7j,0,se licito la compra de una motoniveladora destinada al mantenimiento de calles en el distrito,es
1288,@elmundoes Es una infamia. Las consecuencias de tener comunistas en el Gobierno. Una aberración. El comunismo es una lacra allí donde gobierna o gobernó.,0,es una infamia las consecuencias de tener comunistas en el gobierno una aberracion el comunismo es una lacra alli donde gobierna o goberno,es
1289,@louiscandade @SrtMoii hija y d donde t crees q se ha filtrado hits different,0,hija y d donde t crees q se ha filtrado hits different,es
1290,@segun_yo Mi pequeño aporte 🤭 https://t.co/tWPjFSvjaL,0,mi pequeno aporte,es
1291,@REDI_llanos002 Cooperación estratégica alianza perfecta,0,cooperacion estrategica alianza perfecta,es
1293,@Butterfly7118 A los romanticos trasnochados que dicen que los dominicanos rechazan a los haitianos por pobre y por negros,0,los romanticos trasnochados que dicen que los dominicanos rechazan los haitianos por pobre y por negros,es
1295,No puedo más con mi mente cochinota 🤣🤣🤣🤣🤣🤣,0,no puedo mas con mi mente cochinota,es
1296,@fenixzintas Ojalá se haya gastado 40 billones para cerrarlo. OJALÁ.,0,ojala se haya gastado billones para cerrarlo ojala,es
1297,kien queire hacer match lucandrew no los shippeo nomás me gusta andrew,0,kien queire hacer match lucandrew no los shippeo nomas me gusta andrew,es
1298,"@mariooinfante @PedroMoron95 Pues lo mismo os a pasado a ustedes con la Real Sociedad, criatura",0,pues lo mismo os pasado ustedes con la real sociedad criatura,es
1299,"Enhorabuena a todos los que han hecho posible esta canción porque me parece una maravilla. @anbl_lee, @chnombela, y ELLA de @elyellamusic.
'El espacio' 💔❤️ https://t.co/vscXDdN5WP",0,enhorabuena todos los que han hecho posible esta cancion porque me parece una maravilla y ella de el espacio,es
1301,"Todo este tipo d iniciativas deben ser impulsadas, operadas y desarrolladas x el sector privado. El Edo no debe ser empresario nunca más. El Edo debe concentrarse solo en sus funciones y servicios esenciales:educación, salud, seguridad cdna y justicia. 

https://t.co/96rwO8JNjR",0,todo este tipo d iniciativas deben ser impulsadas operadas y desarrolladas x el sector privado el edo no debe ser empresario nunca mas el edo debe concentrarse solo en sus funciones y servicios esenciales educacion salud seguridad cdna y justicia,es
1303,@athenaskies Ni los conozco todavia pero nagi😍😍😍,0,ni los conozco todavia pero nagi,es
1304,"Mk, dedique el que es para mi el mejor de los temas para dedicar y la persona ni siquiera le puso atención, ni del nombre se acuerda, no dediquen nunca temazos, hpta:(.",0,mk dedique el que es para mi el mejor de los temas para dedicar y la persona ni siquiera le puso atencion ni del nombre se acuerda no dediquen nunca temazos hpta,es
1305,que mal estoy haciendo las cosas contigo,0,que mal estoy haciendo las cosas contigo,es
1306,"@Miguel_layun Cuando quieras, Miguel!",0,cuando quieras miguel,es
1307,yo pienso en mi cuando escucho canciones bonitas me quiero mucho,0,yo pienso en mi cuando escucho canciones bonitas me quiero mucho,es
1308,En el campo del Valencia cantan las mismas canciones que en el del Betis? Quién copia a quién?,0,en el campo del valencia cantan las mismas canciones que en el del betis quien copia quien,es
1309,"🔹 Obra FU.
🔸 Vivienda Unifamiliar.
🔹 Leandro N. Alem.

Avances de Obra!
✔ Ladrillo Visto.
✔ Revoque Grueso Exterior.
✔ Premarcos de Aberturas.
✔ Techo.
✔ Aislación.
✔ Doble Muro.
✔ Instalaciones.
y más...

#BuisanCarreraArquitectos #Obra #Construcción #Arquitectura https://t.co/nwNfXZlwLK",0,obra fu vivienda unifamiliar leandro n alem avances de obra ladrillo visto revoque grueso exterior premarcos de aberturas techo aislacion doble muro instalaciones y mas buisancarreraarquitectos obra construccion arquitectura,es
1310,@lea_alves Ni loco lo insulto ni lo trato de traidor. Pero la decepción es muy grande.,0,ni loco lo insulto ni lo trato de traidor pero la decepcion es muy grande,es
1311,@auronmadness JAJAJA espero que sea solo para firmar el balón que escribió así,0,espero que sea solo para firmar el balon que escribio asi,es
1312,@MangelUve Absurdísimo porque la persona en silla de ruedas se puede sentar frente a ti o al grupo de personas que esté en el banco (lo cual es todavía más inclusivo) para una cosa buena que puede tener el ir en silla de ruedas aprovechan para joderle la vida a gente que ya la tiene jodida.,0,absurdisimo porque la persona en silla de ruedas se puede sentar frente ti o al grupo de personas que este en el banco lo cual es todavia mas inclusivo para una cosa buena que puede tener el ir en silla de ruedas aprovechan para joderle la vida gente que ya la tiene jodida,es
1313,@SDAlmazanoficia las hace el extremo derecho no? jajajaj grandes,0,las hace el extremo derecho no grandes,es
1314,tengo la mejor familia para la q trabajo tlj mis niños los mejores y los padres los millennials mas majos de la península colega,0,tengo la mejor familia para la q trabajo tlj mis ninos los mejores y los padres los millennials mas majos de la peninsula colega,es
1315,Crees que puedes ser el gusano mas grande del juego? Hungry Worms - #1 en mas de 80 paises. https://t.co/7OdfDvAu3C,0,crees que puedes ser el gusano mas grande del juego hungry worms en mas de paises,es
1317,Harry Styles abrindo mercado https://t.co/un1mRX2e3s,0,harry styles abrindo mercado,es
1319,"Haro y Catalán, la misma mierda es",0,haro y catalan la misma mierda es,es
1320,https://t.co/gbRLorORYb @gmilman @PatoBullrich: siempre lado de la sangre de inocentes derramada.@soyLiliVivero2 @abran_susana  @Albertobetito4 @SalaEdgardo @_LaMaximoK @claudiareyna6g1 @ArielAnibal13 @DeliaRosaCmara4 @EsterLinaLanzi @la_campora @lucampora #MafiaJudicialComplice,0,siempre lado de la sangre de inocentes mafiajudicialcomplice,es
1321,"⚽️ La comisión directiva del Verde le renovó la confianza a la dupla técnica y los ídolos afrontarán la temporada 2023 al frente del equipo de Primera.
https://t.co/11dNIOnOik",0,la comision directiva del verde le renovo la confianza la dupla tecnica y los idolos afrontaran la temporada al frente del equipo de primera,es
1323,Los hombres esperan que una sea linda y que no sea loca no mi rey todo no se puede,0,los hombres esperan que una sea linda y que no sea loca no mi rey todo no se puede,es
1324,"@sanchezcastejon @DebatAlRojoVivo @laSextaTV Y la “entrevista” q la puta mediática le haga a su proxeneta monclovita,la vea su puta madre y todos los chekistas mononeuronales q tienen aborregados..sátrapa comunista!!! https://t.co/twIZPmOTTx",0,y la entrevista q la puta mediatica le haga su proxeneta monclovita la vea su puta madre y todos los chekistas mononeuronales q tienen aborregados satrapa comunista,es
1325,@Jesusromero__ chupa pue,0,chupa pue,es
1326,q mierda soy,0,q mierda soy,es
1327,"Ya le han dado el primer leñazo a Vini sin balón de por medio, si el árbitro sacará amarilla cortaba por lo sano, pero no prefiere que se le vaya el partido de las manos.",0,ya le han dado el primer lenazo vini sin balon de por medio si el arbitro sacara amarilla cortaba por lo sano pero no prefiere que se le vaya el partido de las manos,es
1328,Los goles de River en el amistoso en Chile https://t.co/wixTa5Beb3 vía @RiverPlate,0,los goles de river en el amistoso en chile via,es
1329,porfavor mamá déjame traer otro gato a la casa https://t.co/YJVAfuWuWt,0,porfavor mama dejame traer otro gato la casa,es
1330,"@juliiana2003bb Uuufff delicioso todo eso,que mujer más linda,eres sin mente para desnudarte 🥵",0,uuufff delicioso todo eso que mujer mas linda eres sin mente para desnudarte,es
1332,No alzó el trofeo pero este chico siempre ha tenido aura de ganador. https://t.co/vJ4vwanCk6,0,no alzo el trofeo pero este chico siempre ha tenido aura de ganador,es
1333,Cuánta fe tiene Juan Jajaj piensa que no se va ir #GH2022,0,cuanta fe tiene juan piensa que no se va ir gh,es
1335,"@PSOE @mjmonteroc Memoria histórica: el Parlamento Europeo condena los crímenes del nazismo y el comunismo, España Sanchista los hace homenajes. https://t.co/Mg6YJClF7G",0,memoria historica el parlamento europeo condena los crimenes del nazismo y el comunismo espana sanchista los hace homenajes,es
1336,@avtperu2026 Tal vez por que golpean con latigo y machetes a los periodistas,0,tal vez por que golpean con latigo y machetes los periodistas,es
1338,"@Azahara66527773 @LaDocensMum Jo qué calvario estaréis pasando... ser fuertes, un fuerte abrazo!",0,jo que calvario estareis pasando ser fuertes un fuerte abrazo,es
1340,"@latercera Y @mbachelet restablecerá su domicilio tributario también? Para que pague impuestos alguna vez (juntando las pensiones más su “retiro” suizo) Nefasta tenerla por acá, alguna tragedia se acerca #FueraComunistasDeChile @melnicksergio @MarinHomerk @Girealaderecha @gene_llerena",0,y restablecera su domicilio tributario tambien para que pague impuestos alguna vez juntando las pensiones mas su retiro suizo nefasta tenerla por aca alguna tragedia se acerca fueracomunistasdechile,es
1341,"@maximend92 Totalmente de acuerdo, Lavallen y su comando técnico debería recibir una sanción, al agredir físicamente a un hincha blanquiazul en Arequipa, que solo expresó su sentir de manera verbal. La violencia no es justificable.",0,totalmente de acuerdo lavallen y su comando tecnico deberia recibir una sancion al agredir fisicamente un hincha blanquiazul en arequipa que solo expreso su sentir de manera verbal la violencia no es justificable,es
1342,como que tengo que presentar filosofía profe ?🥺,0,como que tengo que presentar filosofia profe,es
1344,"El gran legado del socialismo en cruda verdad es: 
8 de cada 10 venezolanos es pobre! 
#10Nov",0,el gran legado del socialismo en cruda verdad es de cada venezolanos es pobre nov,es
1345,con esta me cancelan con esta me cancelan https://t.co/IyrbIEW0Af,0,con esta me cancelan con esta me cancelan,es
1346,@ddmleon @jcggutierrez78 Y que los que la podemos pagar la tengamos cuando la necesitemos. Que sueñe con los angelitos #sossanidadpública,0,y que los que la podemos pagar la tengamos cuando la necesitemos que suene con los angelitos sossanidadpublica,es
1347,@Robzoly Ehnoma a mí sí me gustan los sabritones,0,ehnoma mi si me gustan los sabritones,es
1348,@Daniel_PCISF @vivibolagain Sólo tengo ojos para Wilson Morelo.,0,solo tengo ojos para wilson morelo,es
1349,"@iDreALo @MikyReyAlegre @PALMERAS1995 @ComandoSvr1986 @OccidentAL2017 Serrano proviene de la sierra, y yo soy bien arequipeño, no como limeño si lo eres cabrón,ratero, ignorante, sube a tu cerro.",0,serrano proviene de la sierra y yo soy bien arequipeno no como limeno si lo eres cabron ratero ignorante sube tu cerro,es
1350,@JorgeAr19933155 @rgomez68 ojalá se me hace un buen defensa...,0,ojala se me hace un buen defensa,es
1352,"Orgullosos de ser Policías Cívicos!!!
#diosypatria 
#lealtadyapoyo
#quelafenossigamotivando
#hacercosasbuenas
#trabajoenequipo
#yoapoyoamipolicíanacional 
#defendiendolainstitucionalidad
#orgullosodesercivico 
#juntossomosmasfuertes
@PoliciaColombia 
@Region8Policia https://t.co/d7ZYC9pnio",0,orgullosos de ser policias civicos diosypatria lealtadyapoyo quelafenossigamotivando hacercosasbuenas trabajoenequipo yoapoyoamipolicianacional defendiendolainstitucionalidad orgullosodesercivico juntossomosmasfuertes,es
1353,"@J_Zaragoza_ La justicia condena a dos presidentes de Andalucía ""CONDENA""  Por malversar el dinero de los Andaluces.",0,la justicia condena dos presidentes de andalucia condena por malversar el dinero de los andaluces,es
1354,@Estalagmita__ Yo quiero,0,yo quiero,es
1355,@cokidella Yo tampoco desde que perdió Macri con todo lo que la ayudo es un panqueque,0,yo tampoco desde que perdio macri con todo lo que la ayudo es un panqueque,es
1357,@elip4lacios No es posible lograrlo #justsaying https://t.co/URDWpMbAhw,0,no es posible lograrlo justsaying,es
1358,"""Esperamos que ratifique esa voluntad de transformación que tiene y expresar una candidatura presidencial""",0,esperamos que ratifique esa voluntad de transformacion que tiene y expresar una candidatura presidencial,es
1359,Me adelanto al viernes. Permiso #beerlover 🍺 https://t.co/vzpyxTBBo1,0,me adelanto al viernes permiso beerlover,es
1360,"*Viendo con que famosos compartimos signo en la oficina*
Yo: Carlos es del mismo signo que Messi.
Ángel: Tiene sentido.
Carlos: por qué?
Ángel: porque ambos son chiquitos.
Yo: *procedo a hiperventilar de tanto reír*",0,viendo con que famosos compartimos signo en la oficina yo carlos es del mismo signo que messi angel tiene sentido carlos por que angel porque ambos son chiquitos yo procedo hiperventilar de tanto reir,es
1361,@Casandr64900549 Naco de mierda bellas palabras de la clase alta a sus trabajadores ese wey es panista,0,naco de mierda bellas palabras de la clase alta sus trabajadores ese wey es panista,es
1362,"@Jonatha32660035 Yo espero salgan para principios del 2023, para empezar el año con todo",0,yo espero salgan para principios del para empezar el ano con todo,es
1363,"@carmensuisse Nelson es un “vivas” la vida,Y Gustavo López? Y la psicóloga?",0,nelson es un vivas la vida y gustavo lopez y la psicologa,es
1364,me quiero ir,0,me quiero ir,es
1365,@nabarrobaskon @NoticiasNavarra Si te descuidas ni eran de Barcelona y están bastante más cerca.,0,si te descuidas ni eran de barcelona y estan bastante mas cerca,es
1366,"@Miguel4KGG A partir de la sexta temporada el nivel baja muchísimo, se quedaron sin ideas",0,partir de la sexta temporada el nivel baja muchisimo se quedaron sin ideas,es
1367,"@LTWorldUpdates creo no, con lo que tengo no me alcanza ni para media entrada",0,creo no con lo que tengo no me alcanza ni para media entrada,es
1368,"Entré literalmente buscando cobre, y encontré oro 5483475 kilates, fua el Diego (?",0,entre literalmente buscando cobre y encontre oro kilates fua el diego,es
1369,@YosiphRGT Un afan de joder todos los días .,0,un afan de joder todos los dias,es
1371,"⠀ 
⠀⠀ ⠀⠀
   todas las veces que he echado en falta esto... ”.

Acunando rostro con ambas manos, deposita cortos besitos por su cara deleitándose con las sensaciones que vuelve a despertar en ella. 

Aquel contacto, tan familiar y olvidado a la vez, abriéndose paso en »

⠀⠀",0,todas las veces que he echado en falta esto acunando rostro con ambas manos deposita cortos besitos por su cara deleitandose con las sensaciones que vuelve despertar en ella aquel contacto tan familiar y olvidado la vez abriendose paso en,es
1372,@acostabogados Al menos no le lanzaron huevos como al mashicon 🤣🤣🤣🤣,0,al menos no le lanzaron huevos como al mashicon,es
1373,Ese día que te vi se notó que no me necesitabas mucho. Pedile a el que venga.,0,ese dia que te vi se noto que no me necesitabas mucho pedile el que venga,es
1375,y yo sigo sin entender mates😔😔😔😔,0,y yo sigo sin entender mates,es
1376,@TheObjective_es Ay madre que ha llamado Franquista a Sanchinflas,0,ay madre que ha llamado franquista sanchinflas,es
1377,@Guada_Bondoni @Aniiechegaray1 @ripmartp @ripmartp yo tambien le debo plata la bloqueamos y no la conocemos,0,yo tambien le debo plata la bloqueamos y no la conocemos,es
1378,"Me dan ganas de mandarte a tomar por culo en tu puta jeta... pero en realidad la gilipollas soy yo. Pero como de todo se aprende, no vuelvo a caer en otra igual nunca!!! https://t.co/7cHidmmQcR",0,me dan ganas de mandarte tomar por culo en tu puta jeta pero en realidad la gilipollas soy yo pero como de todo se aprende no vuelvo caer en otra igual nunca,es
1379,💀este porq me voy a matar https://t.co/sKqvIpaBT4,0,este porq me voy matar,es
1380,@SitoCinema Es una seriaza de la época dorada de la HBO injustamente olvidada o no reconocida por muchos.,0,es una seriaza de la epoca dorada de la hbo injustamente olvidada o no reconocida por muchos,es
1382,@weratiffany1 Mandando mis poderosisimas 3 pulgadotas sinco octavotes!!!!,0,mandando mis poderosisimas pulgadotas sinco octavotes,es
1383,@socifono Seguramente les van a dar 800mil,0,seguramente les van dar mil,es
1385,@lylmexico2 Hermosa dama … saludos y excelente foto,0,hermosa dama saludos y excelente foto,es
1386,Solo estaré feliz si me hacen una transferencia para comer sushi. 🫠,0,solo estare feliz si me hacen una transferencia para comer sushi,es
1387,Estas son las series de Netflix que atraen al público de España https://t.co/rQHHYTVgEO,0,estas son las series de netflix que atraen al publico de espana,es
1389,"@macheemf a vers, según yo si es franquicia.",0,vers segun yo si es franquicia,es
1390,O invitenme igual una de esa salgo jaja https://t.co/ZCLdOeuPUG,0,o invitenme igual una de esa salgo,es
1391,Buenas noticias para Scaloni: Di María y Paredes sumaron minutos en la Juventus https://t.co/PFRm0ahWac,0,buenas noticias para scaloni di maria y paredes sumaron minutos en la juventus,es
1392,NOOOOO apenas y tengo para ir al de harry 😭 https://t.co/9sEI8rIhVd,0,nooooo apenas y tengo para ir al de harry,es
1394,No sólo Cristiano Ronaldo: la lista de Portugal para el Mundial https://t.co/f80XgmGOcx,0,no solo cristiano ronaldo la lista de portugal para el mundial,es
1395,"Balones fuera,fatal.#SánchezARV",0,balones fuera fatal sanchezarv,es
1396,"Jugadores de Melgar tuvieron hostil recibimiento de hinchas de Alianza Lima: provocaciones, insultos y detenidos https://t.co/oZLU1CCCIF",0,jugadores de melgar tuvieron hostil recibimiento de hinchas de alianza lima provocaciones insultos y detenidos,es
1399,"Este payaso dándole órdenes a los periodistas… 

🤡🤡🤡👇🏾 https://t.co/8KLQInWgWr",0,este payaso dandole ordenes los periodistas,es
1400,"😓🎥Vídeo: La cara de Sampaoli cuando llegó al vestuario… 

https://t.co/ywcGtngoD1",0,video la cara de sampaoli cuando llego al vestuario,es
1402,"El consabido complot judeo-masónico-comunista...

DíAZ ""Ayuso reduce el caos de la sanidad madrileña y las protestas de los profesionales a que “faltan 34 médicos”: https://t.co/3tiqblQyan",0,el consabido complot judeo masonico comunista diaz ayuso reduce el caos de la sanidad madrilena y las protestas de los profesionales que faltan medicos,es
1403,"@ariiadnavilchez Pero nadie se pregunta, cómo se siente tu reloj?",0,pero nadie se pregunta como se siente tu reloj,es
1404,"@Mag71Mag La votaron en masa los hosteleros y camareros para  salvar sus negocios; de quienes dependían muchas familias. Y, estas familias también votaron. No olvidemos a que se refería lo de libertad. Seguir poniendo cañas. Aunque espero que ahora esas familias vean que no tienen médico.",0,la votaron en masa los hosteleros y camareros para salvar sus negocios de quienes dependian muchas familias y estas familias tambien votaron no olvidemos que se referia lo de libertad seguir poniendo canas aunque espero que ahora esas familias vean que no tienen medico,es
1405,@ro_lo_ar33 @nicopolipereyra @ObservadorUY Censura?? En muchos laburos te prohiben escuchar música. El pasajero/cliente no tiene porqué fumarse lo que el señor chófer quiera escuchar a cualquier volumen.,0,censura en muchos laburos te prohiben escuchar musica el pasajero cliente no tiene porque fumarse lo que el senor chofer quiera escuchar cualquier volumen,es
1406,@titowankalaw La Toma fotográfica jajaja no te veo en la marcha,0,la toma fotografica no te veo en la marcha,es
1407,"@aleoolivvaaa @lauurads_ pero yo me puse debajo para que no te v
hicieras daño",0,pero yo me puse debajo para que no te v hicieras dano,es
1410,"@BLINKJL3 ¡Es hoy! 
Wakanda será por siempre, pero la espera no. 
#PanteraNegra: Wakanda Por Siempre ya está en cines. 
Consigue tus tickets ahora 👇",0,es hoy wakanda sera por siempre pero la espera no panteranegra wakanda por siempre ya esta en cines consigue tus tickets ahora,es
1411,"17:39
Jueves
""Placeres Sencillos"" https://t.co/ByZq35dBQd",0,jueves placeres sencillos,es
1412,"@pauhstchcl ¡Es hoy! 
Wakanda será por siempre, pero la espera no. 
#PanteraNegra: Wakanda Por Siempre ya está en cines. 
Consigue tus tickets ahora 👇",0,es hoy wakanda sera por siempre pero la espera no panteranegra wakanda por siempre ya esta en cines consigue tus tickets ahora,es
1413,"Gracias por el pase de las 17hs @TaricoAriel, @JonatanViale, @morandolucas, @nelsonalcastro y la Sra que no recuerdo el nombre 🙏, un bálsamo para la cruda realidad que atravesamos!!  
@Rivadavia630",0,gracias por el pase de las hs y la sra que no recuerdo el nombre un balsamo para la cruda realidad que atravesamos,es
1414,10 días 😍😍,0,dias,es
1415,"t menti,,,si voy a extrañarte",0,t menti si voy extranarte,es
1417,@noeselmomentoo Estoy llorando tirado en el suelo,0,estoy llorando tirado en el suelo,es
1418,entendernos y ayudarnos por eso yoko mi mejor amiga https://t.co/riqO31YSXX,0,entendernos y ayudarnos por eso yoko mi mejor amiga,es
1419,el perfume de hombre😍😍,0,el perfume de hombre,es
1420,@yxmi2221 y yo lloré contigo,0,y yo llore contigo,es
1421,"@erikcaste_ @Roseista01 Hombre, le hacían hasta triples marcas porque la segunda arma ofensiva de OKC era Steven Adams, era normal que pasara eso más q nada porque no había nadie más q generara nada en ese equipo",0,hombre le hacian hasta triples marcas porque la segunda arma ofensiva de okc era steven adams era normal que pasara eso mas q nada porque no habia nadie mas q generara nada en ese equipo,es
1422,@AleJacintoUrang Ajo y agua bonita se llama eso.Lo dirá por la cajera qué algo sabe.,0,ajo y agua bonita se llama eso lo dira por la cajera que algo sabe,es
1423,Totalmente de acuerdo https://t.co/p3aXI0GH5M,0,totalmente de acuerdo,es
1425,@mariaaaraceli Aquí andamos apurados pero aquí andamos. Saluditos Araceli 🙌👋,0,aqui andamos apurados pero aqui andamos saluditos araceli,es
1426,"@ManuelAGLE @AlfredSarjok @Ameridentista No es un indígena nada más, es el líder de una nación que está peleando para proteger a su pueblo.",0,no es un indigena nada mas es el lider de una nacion que esta peleando para proteger su pueblo,es
1427,"#DatoCurioso Es fundamental tener planes sanitarios, reproductivos y nutricionales para que se tengan mejores resultados en el negocio, al tiempo que se mostró la necesidad de ver la actividad como una empresa.
https://t.co/6qr8GXMDVZ https://t.co/EpxTKVL6aG",0,datocurioso es fundamental tener planes sanitarios reproductivos y nutricionales para que se tengan mejores resultados en el negocio al tiempo que se mostro la necesidad de ver la actividad como una empresa,es
1428,Para mí el 2006-2014 fue la época dorada del fútbol.,0,para mi el fue la epoca dorada del futbol,es
1430,@elhespanolcom Acabo de poner una nota en la @ACBCOM  que no me interesa lo que pasé en un país que no respeta los derechos humanos básicos,0,acabo de poner una nota en la que no me interesa lo que pase en un pais que no respeta los derechos humanos basicos,es
1431,Soluciones reales como el tema de invertir en tecnologías que ayudan a proteger el medio ambiente en cambio de la locura de prohibir el petroleo de una como dicr Petro.,0,soluciones reales como el tema de invertir en tecnologias que ayudan proteger el medio ambiente en cambio de la locura de prohibir el petroleo de una como dicr petro,es
1432,"@JhonnyRQuintero Amigo el conocimiento y la experiencia es un activo el cuál no se desvaloriza.
Quizás para ellos no cumples los requisitos pero de otro lado necesitan de tus conocimientos.
Nada de bajar la guardia necesitas seguir.
Dios te bendiga grandemente.
Tú sonrisa te hace diferente. https://t.co/qNymJ8tbvp",0,amigo el conocimiento y la experiencia es un activo el cual no se desvaloriza quizas para ellos no cumples los requisitos pero de otro lado necesitan de tus conocimientos nada de bajar la guardia necesitas seguir dios te bendiga grandemente tu sonrisa te hace diferente,es
1433,"Menos mal y no quería hacerme daño, si no si me mataba hpta",0,menos mal y no queria hacerme dano si no si me mataba hpta,es
1434,"#Internacional | Vicepresidenta de Argentina, Cristina Fernández, recusará a la jueza Capuchetti en la causa que investiga el intento de asesinato  

Más información acá: https://t.co/RD2q8zaEIw",0,internacional vicepresidenta de argentina cristina fernandez recusara la jueza capuchetti en la causa que investiga el intento de asesinato mas informacion aca,es
1435,"Mira ahora el ardiente partido de la cumbre
  Real Madrid y Cádiz
 Directo desde el siguiente
 enlace 👇👇
 https://t.co/gaLjtlDFUW https://t.co/P3eW7kr6vQ",0,mira ahora el ardiente partido de la cumbre real madrid y cadiz directo desde el siguiente enlace,es
1436,"🥵Cuando el Bully de la clase termina su entrenamiento, su aroma de macho pervierte a todo betita que termina por entregarsele y a su novia 🫢 https://t.co/I43SsRcc3c",0,cuando el bully de la clase termina su entrenamiento su aroma de macho pervierte todo betita que termina por entregarsele y su novia,es
1437,Me hubiera encantado haber vivido mejor la etapa de la universidad.,0,me hubiera encantado haber vivido mejor la etapa de la universidad,es
1439,Encima es publicidad del God of War 😭😭😭😭😭😭 https://t.co/2C1mG360oq,0,encima es publicidad del god of war,es
1440,@WendyVilledi @TreeCageGBTown @TeyRosita Ek16-*susurro* apuesto 50$ a que empiezan a salir en un mes,0,ek susurro apuesto que empiezan salir en un mes,es
1441,"Yo:me voy a la cama...

Mi novio: Sesión de fotos 😈❤️‍🔥 https://t.co/T3BjtAHExk",0,yo me voy la cama mi novio sesion de fotos,es
1442,@AmesHenry @Taniaramirezga2 @congresoperu Jajaja se orinan de miedo pero tranquis no va pasar de nada,0,se orinan de miedo pero tranquis no va pasar de nada,es
1443,El director general del OIEA acusa a Irán de frustrar inspecciones en uno de sus centros nucleares https://t.co/71CYr7hfvf,0,el director general del oiea acusa iran de frustrar inspecciones en uno de sus centros nucleares,es
1444,"#Noticias | Una rastra arrolló un hombre que resultó gravemente lesionado, en la zona conocida como El Triángulo en San Miguel. https://t.co/S3uSzJWiGt",0,noticias una rastra arrollo un hombre que resulto gravemente lesionado en la zona conocida como el triangulo en san miguel,es
1446,"En NIKKE solo hay waifus qlonas y pechugonas, los personajes masculinos de la historia: https://t.co/VUWOl3eaiG",0,en nikke solo hay waifus qlonas y pechugonas los personajes masculinos de la historia,es
1447,No construyan en la playa 😢 https://t.co/fSKUGCbEsh,0,no construyan en la playa,es
1448,@NoticiasCaracol Toda esa gente voto por ese socialista.,0,toda esa gente voto por ese socialista,es
1449,Busco mujer o pareja para atender con este juguetico https://t.co/uHFpc3iIue,0,busco mujer o pareja para atender con este juguetico,es
1452,"⠀ 
⠀⠀ ⠀⠀
    Mueca de placer se dibuja en su rostro ante la nueva y esperada intromisión. Tono rojo carmesí tiñe con suma rapidez las mejillas, a él se aferra como si tuviese miedo de que desapareciese en cualquier momento.

“ No tienes idea de... »

⠀⠀ https://t.co/xH64tXlpDm",0,mueca de placer se dibuja en su rostro ante la nueva y esperada intromision tono rojo carmesi tine con suma rapidez las mejillas el se aferra como si tuviese miedo de que desapareciese en cualquier momento no tienes idea de,es
1453,@WaLTer_dAntz @_Bushidouwu_ Si le dije que hay buenos culos,0,si le dije que hay buenos culos,es
1454,@RanferiDe Entonces cállate mascota croquetera,0,entonces callate mascota croquetera,es
1456,"@MargaritaRepo Y un paraco, narco, comunista, corrupto, asesino.

Todo un ángel el hp ese.",0,y un paraco narco comunista corrupto asesino todo un angel el hp ese,es
1457,@AjosCuelga @Armada_esp @RetoHistorico ¡Gracias por compartir! ☺️,0,gracias por compartir,es
1459,Vamos poniendo modo Mundial 😏#NuevaFotoDePerfil https://t.co/gqvCkTMdHl,0,vamos poniendo modo mundial nuevafotodeperfil,es
1460,"@HectorGarCam Ya me pasó por la mente, pero los que eran de confianza desaparecieron o se murieron...",0,ya me paso por la mente pero los que eran de confianza desaparecieron o se murieron,es
1461,"@ljmc_m @hjohanna__ Si no se me quita, el sábado le compramos una miche al Lic Bartolo",0,si no se me quita el sabado le compramos una miche al lic bartolo,es
1463,que janas de explotar a chorar pero contendo as emocións como de costumbre,0,que janas de explotar chorar pero contendo as emocions como de costumbre,es
