,Comentarios,Idioma,TweetPre
1715,vos entendes felicidad pone genuinamente triste,es,entendes felicidad pone genuinamente triste
1717,jajaja pues ahora que todos aplaudimos que aventaste asi vacio chaval jajaja,es,jajaja pues ahora aplaudimos aventaste vacio chaval jajaja
1721,despues estar semana depresiva sabiendo hacer con vida por fin una buena,es,despues semana depresiva sabiendo hacer vida buena
1722,uno rie pero gracioso voy jajaja llorar sabias jajaja,es,gracioso jajaja llorar sabias jajaja
1723,dia para llorar,es,llorar
1724,pense que estudiando distraerla tendria menos ansiedad pero todo igual peor sabe mejoro empeoro,es,pense estudiando distraeria tendria menos ansiedad igual peor sabe mejoro empeoro
1725,cuando tengo ansiedad que parece dato poco asi sin relación,es,ansiedad parece dato relacion
1729,poco cansada despues del gym,es,cansada despues
1730,amo leyenda japonesa del chico que tuvo amor correspondido crecieron flores los pulmones hasta morir podria escucharla siempre realmente bonita triste jajaja vez,es,leyenda japonesa chico amor correspondido crecieron flores pulmones morir podria escucharla siempre realmente bonita triste jajaja
1735,quiza par entones quiten triste,es,quiza sentones quiten triste
1738,pega ansiedad como todas las unas tas loco,es,pega ansiedad toda unas loco
1740,estoy tan cansada vida mierda que tengo que donde carajos meterme,es,cansada vida mierda carajos meterme
1741,virginia hecho llorar por del alzheimer abuela siento igual secret,es,virginia hecho llorar alzheimer abuela siento igual secret
1744,pongan traten llorar,es,pongan traten llorar
1746,voy jajaja llorar estoy trabajando sin parar quiero ser adulta,es,jajaja llorar trabajando parar quiero adulta
1750,con cera asi uhmm riendo para llorar,es,cera uhmm riendo llorar
1751,quiero llorar,es,quiero llorar
1753,pienso llorar por esa boludes,es,pienso llorar boludes
1754,verdad que hace peor llorar aguantarme llanto anyway tengo los ojos mas que hinchados,es,verdad hace peor llorar aguantarme llanto anyways ojos hinchados
1755,ultimamente cuando veo borde del abismo estelar susurros vacio cosmico dicen siempre has estado aqui,es,ultimamente borde abismo estelar susurros vacio cosmico dicen siempre aqui
1756,lei hace muchos anos tengo que decir que impresiono autobiográfico contado por autor nino triste duro tierno encanto,es,hace ano decir impresiono autobiografico contado autor nino triste duro tierno encanto
1758,este momento solo puedo pensar dos cosas por las dos estoy ansiosa quiero que sean,es,momento solo puedo pensar cosas ansiosa quiero
1759,estoy nerviosa,es,estiy nerviosa
1766,gusta manejar serio solo cuesta aceptar que nunca voy jajaja poder hacerlo seriamente soy demasiado neurotico ansioso capaz tengo volver jajaja psicologa,es,gusta manejar serio solo cuesta aceptar nunca jajaja poder hacerlo seriamente demasiado neurotico ansioso capaz volver jajaja psicologa
1767,triste loco,es,triste loco
1770,que arena estaba medio vacia ultimo metropolitana les queda muy chico pero bueno pista general oye tan mal palacio feo gradas,es,arena medio vacia ultimo metropolitan queda chico bueno pista general palacio gradas
1771,estare esperando ansioso dia que regreses gira estoy deseando volver jajaja verte tenerte entre mis brazos estare viendo todo tiempo este hermoso video recordando los momentos hermosos que hemos vivido que vendran mucho mejores por vivir juntos,es,estare esperando ansioso regreses gira deseando volver jajaja verte tenerte brazos estare viendo tiempo hermoso video recordando momentos hermosos vivido vendran mejores vivir junto
1773,como buscar interacciones dio ansiedad bajon,es,buscar interacciones ansiedad bajon
1775,dia que nos los dos besitos voy jajaja llorar,es,besitos jajaja llorar
1777,con una tristeza senores pero bueno estado ansiosa,es,tristeza senorxs bueno ansiosa
1778,que tenia miedo jajaja enamorarme jajaja estar triste despues,es,tenia miedo jajaja enamorarme jajaja triste despues
1779,nunca quiero llorar,es,nunca quiero llorar
1783,creo caigo depresion cada vez pienso ellos,es,creo caigo depresion cada pienso
1784,este hombre deberia estar carcel pagar caro inutilidad cargo filosadismo pedofilo pero chile entrevista diario poderoso para darle tribuna jajaja opinion mierda gracias jajaja por hacer mas triste asquerosa realidad chilena canalla,es,hombre deberia carcel pagar caro inutilidad cargo filosadismo pedofilo chile entrevista diario poderoso darle tribuna jajaja opinion mierda gracias jajaja hacer triste asquerosa realidad chilena canalla
1786,tengo dos trabajos uno jajaja otro jajaja con esto pretendo aparentar ante ustedes que soy heroe del compromiso responsabilidad economica unico que quiero decir con esto que bien triste tener tiempo para sentarse jajaja ver shrek una vez mas,es,trabajos jajaja jajaja pretendo aparentar ustedes heroe compromiso responsabilidad economica unico quiero decir bien triste tener tiempo sentarse jajaja shrek
1787,amigas voy jajaja llorar todas mis amigas van jajaja estar show harry mientras rezo para que wifi trabe vivo,es,amogas jajaja llorar toda amigas jajaja show harry mientras rezo wifi trabe vivo
1792,largo jajaja llorar todo que resta vida,es,largo jajaja llorar resta vida
1795,solo dos puntos llegue tarde voy jajaja llorar,es,solo puntos llegue tarde jajaja llorar
1803,siempre que estoy triste pongo jajaja tocar saxofon,es,siempre triste pongo jajaja tocar saxofon
1804,pone demasiado triste saber que algunos uses pasan mal por culpa gente enferma,es,pone demasiado triste saber user pasan culpa gente enferma
1805,nos envio dos besitos sin nadie dijera estoy triste año amo,es,envio besitos nadie dijera triste
1808,tomen con pinzas mayoria las cosas que dice una persona estado mucha ansiedad nuestra cabeza ese momento puro ruido paranoia miedo,es,tomen pinzas mayoria cosas dice persona mucha ansiedad cabeza momento puro ruido paranoia miedo
1809,proceso del revocatorio salto vacio desde rascacielos dias pisos para aniquilar futuro una nación con repercusión todo nuestro continente,es,proceso revocatorio salto vacio rascacielos dia pisos aniquilar futuro nacion repercusion continente
1810,año muchisimas gracias por stream del dia hoy pase demasiado bien disfrute mucho squidgame aunque mitad del juego estuve nervioso uno fue locos nos vemos dia manana con mas cositas nuevo dia descansa pasa bonita noche,es,muchisimas gracias stream pase demasiado bien disfrute squidgame aunque mitad juego nervioso locos vemos manana cositas nuevo descansa pasa bonita noche
1811,ok prefiero estar cansada que casada besito gabriel,es,prefiero cansada casada besito gabriel
1812,estoy muy ansiosa esperando gente que venia jajaja una degustación jajaja las faltan para las,es,ansiosa esperando gente venia jajaja degustacion jajaja faltan
1817,jajaja entre mas vieja mas plastica pero triste que pasa pasa tiempo cada dia mas burra,es,jajaja vieja plastica triste pasa pasa tiempo cada burra
1819,muere huye calma solo abrojos nuestra planta pisa lanza jajaja faz tempestad del alma relampago triste sonrisa,es,muere huye calma solo abrojos planta pisa lanza jajaja tempestad alma relampago triste sonrisa
1821,como quitar numero del carrito vacio tema astra,es,quitar numero carrito vacio tema astra
1826,para llorar,es,llorar
1827,voy jajaja poner triste por poder jajaja ver jajaja harry jajaja louis este ano solo voy respirar pensar respuesta louis jajaja una fan que puede jajaja verlo tour este ano siempre hay proxima gira amo tanto louis sos tan buena persona,es,jajaja poner triste poder jajaja jajaja harry jajaja louis solo respirar pensar respuesta louis jajaja puede jajaja verlo tour siempre proxima gira louis buena persona
1829,estoy tan triste dias antes irme man que pasa,es,triste dia irme pasa
1833,estoy realmente preocupada acuerdo los cumpleanos varias personas,es,realmente preocupada acuerdo cumpleanos varias persona
1834,estoy poniendo intensiva jajaja ver deja dormir ansiedad,es,poniendo intensita jajaja deja dormir ansiedad
1840,estoy triste entonces voy jajaja jajaja hacer ejercicio porque tristeza nubla objetivo tener mas nalgas,es,triste entonces jajaja jajaja hacer ejercicio tristeza nubla objetivo tener nalgas
1841,cansada sus cadenas mala suerte,es,cansada cadenas mala suerte
1844,parece que volo dio estres depresion despues que horacio fue,es,parece volkov estres depresion despues horacio
1845,imagino los fiesteros inconscientes estaran felices haberse echado bolsillo atras todo habiamos logrado como pais medio pandemia materia turismo crecimiento economico solo les voy jajaja repetir celebre frase chelo jajaja llorar cementerio,es,imagino fiesteros inconscientes estaran felices haberse echado bolsillo atras habiamos logrado pais medio pandemia materia turismo crecimiento economico solo jajaja repetir celebre frase cheyo jajaja llorar cementerio
1847,hjiwjw juro cuando spoiler estaba triste casi mudo cielo,es,hjiwjw juro spoilee triste casi mudo cielo
1850,algun dia gustaria conocerlos llevarles obsequio podrias traerlos campamento que jueguen las lides del bosque pueden corretear por las inmediaciones del lago estoy bastante bien aunque sea una noche insomnio,es,algun gustaria conocerlos llevarles obsequio podrias traerlos campamento jueguen lides bosque pueden corretear inmediaciones lago bastante bien aunque noche insomnio
1854,ayer haciendose preocupado ofreciéndose para traerme que necesitara hoy mensaje preguntando como estoy,es,ayer habiendose preocupado ofreciendose traerme necesitara mensaje preguntando
1855,voy jajaja volver gym solo por que siento triste gordo,es,jajaja volver solo siento triste gordo
1857,cansado lastimar jajaja gente que amo,es,cansado lastimar jajaja gente
1858,mis daddy issues hacen llorar tanto viendo series,es,daddy issue hacen llorar viendo series
1859,hoy armonica con pendulo los chakras una persona cuando pase del corazon empece jajaja llorar encanta poder ayudar jajaja liberar esas emociones atrapadas las personas,es,armonice pendulo chakras persona pase corazon empece jajaja llorar encanta poder ayudar jajaja liberar emociones atrapadas persona
1862,todos sabiamos pero ese logro los gobernantes politicos poppy triste realidad que vive vivira pais,es,sabiamos logro gobernantes politico pnppd triste realidad vive vivira pais
1865,todo tiempo digo que soy caprichosa pero dicen que soy capaz llorar,es,tiempo digo caprichosa dicen capaz llorar
1866,como infeliz matandome preocupado,es,infeliz tatuandome preocupado
1870,ver jajaja dedillo tendencia nos recuerda que hay solo presidente los ultimos anos que realidad haya preocupado por bien del pais gente todos nos saquearon por puro beneficio personal circulo cercano eso acabo,es,jajaja zedillo tendencia recuerda solo presidente ultimos ano realidad preocupado bien pais gente saquearon puro beneficio personal circulo cercano acabo
1872,puedo dejar llorar basta,es,puedo dejar llorar basta
1875,presidente felipe caldero cuanto envidia bulto del palacio como quisiera tener capacidad que tiene usted ser muy triste vivir bajo sombra gran presidente usted ch gracias,es,presidente felipe calderon cuanto envidia bulto palacio quisiera tener capacidad usted triste vivir bajo sombra gran presidente usted gracias
1876,cuando sal corrompe triste ver como uno los pilares del estado social derecho como justicia esta manos hampones,es,corrompe triste pilares social derecho justicia manos hampones
1879,dejes llorar inutil,es,dejes llorar inutil
1880,dios quiero llorar,es,dioss quiero llorar
1882,meu presidente espero ansiosa,es,presidente espero ansiosa
1883,estoy triste,es,triste
1884,quisiera ser poquito menos ansiosa organizada pero puedo juro,es,quisiera poquito menos ansiosa organizada puedo juro
1885,cansado intentar agradarle jajaja gente conseguirlo,es,cansado intentar agradarle jajaja gente conseguirlo
1891,triste podre ver jajaja mitsuko concierto del harry,es,triste podre jajaja mitski concierto harry
1894,dios echas perdonenme sigo cansada pop sugar,es,dios echas perdonenme sigo cansada sugar
1897,algo que encanta del rock espacial los temas mejores logrados tan nostálgicos que expresan plenamente vacio perderse espacio increible,es,encanta rock espacial temas mejores logrados nostalgicos expresan plenamente vacio perderse espacio increible
1899,siento tan sola triste,es,siento sola triste
1900,pagame terapia ahora estoy triste,es,pagame terapia ahora triste
1901,una pena qie recuerden solo desechen pero persona sabes quien era fui para para aora sirvo pero triste supieras persona,es,pena recuerden solo desechen persona sabes aora sirvo triste supieras persona
1906,hoy estoy cansada selene como esta dia,es,cansada selene
1909,puedo llorar con abbs fondo,es,puedo llorar tbbs fondo
1911,tengo mucha ansiedad,es,mucha ansiedad
1912,que pedo con dia mas triste del ano voy bluewednesday,es,pedo triste bluewednesday
1914,rio por llorar,es,llorar
1915,nunca estuve enferma pop llorar por esos floperitos fuera ustedes jajaja cada rato jajaja esos who los topan,es,nunca enferma kpop llorar floperitos ustedes jajaja cada rato jajaja topan
1916,estaba tan bien semana pasada con grados una depresion clima este hasta los negocios cierran antes anda loro,es,bien semana pasada grados depresion clima negocios cierran anda loro
1917,risa nerviosa porque imaginense ellos viajan solos aun quejan los tenemos ninos nos volveriamos locos por que creen seguimos sin viajar,es,risa nerviosa imaginense viajan solo quejan ninos volveriamos locos creen seguimos viajar
1918,siento cansada todo tiempo estoy segura que nueva variante volver jajaja rutina,es,siento cansada tiempo segura nueva variante volver jajaja rutina
1919,triste cambiar cuenta sirve,es,triste cambiar cuenta sirve
1920,estoy tan triste amo tanto jajaja len odio alegra dia veo dan ganas morirme,es,triste jajaja odio alegra ganas morirme
1921,sabias que los jueces vistieron negro para llorar muerte reina maria han permanecido asi desde entonces,es,sabias jueces vistieron negro llorar muerte reina maria permanecido entonces
1922,dios mio oro llorar hija voy jajaja ganar,es,dios llorar hina jajaja ganar
1925,ese primo hace mika esta escuchando misma canción descargada sin parar llorar ese primo pasenla wifi cambien lugar pieza soporto,es,primo hace mika escuchando misma cancion descargada parar llorar primo pasenle wifi cambien lugar pieza soporto
1928,aprendamos jajaja diferenciar tristeza depresion,es,aprendamos jajaja diferenciar tristeza depresion
1929,ultimas horas jajaja lado amorcito debo llorar,es,ultima horas jajaja lado amorcito debo llorar
1930,hola tenia como estas soy fan quiero mucho estes viendo este tweet quiero parecer desesperada con este tweet pero verdad espero algun dia sepas existencia respondas este tweet eso sera mil anos pero quiero mucho ojala que canción,es,hola kenia quiero estes viendo tweet quiero parecer desesperada tweet verdad espero algun sepas existencia respondas tweet serum ano quiero ojala cancion
1931,las horas felices que volveran todo vivido hace llorar,es,horas felices volveran vivido hace llorar
1933,asi siente uno vacio una tristeza enorme como que pedacito cielo son parte familia describiste muy bien,es,vacio tristeza enorme pedacito cielo parte familia describiste bien
1937,que gueto llorar que tapone esa nariz jajaja mas poder tanto que palpita dios mio dejame vivir hueco paz nojoda,es,guebo llorar tapone nariz jajaja poder palpita dios dejame vivir hueco nojoda
1938,jajaja entiendo frustración rio para llorar,es,jajaja entiendo frustracion llorar
1939,tambien quiero grupo chiquito donde hagamos todo vayamos jajaja plato tambien jajaja minecraft jajaja rave lloro triste soledad,es,tambien quiero grupo chiquito hagamos vayamos jajaja plato tambien jajaja minecraft jajaja rave lloro triste soledad
1943,regocijas con show expropiaciones ahora pones jajaja llorar,es,regocijas show expropiaciones ahora pone jajaja llorar
1948,hiciste llorar tonto,es,hiciste llorar tonto
1950,ansiedad saber que cualquier momento estoy por contagiar,es,ansiedad saber cualquier momento contagiar
1951,salen malos sere automaticamente persona mas triste del planeta,es,salen malos sere automaticamente persona triste planeta
1956,ojala poder borrar jajaja dedo jajaja los fans con foto perfil screamers seria gustazo ver llorar jajaja tantos niñatos fanaticos que flipas casi orgásmico diria,es,ojala poder borrar jajaja dedo jajaja fan foto perfil streamer seria gustazo llorar jajaja tantos ninatos fanaticos flipas casi orgasmico diria
1958,hoy queria llorar con ruptura,es,queria llorar rupture
1966,mor aparecian piso que que alcanza dejaba seleccionarlo pero momento añadirla jajaja cesta decia agotada asi con cada una hasta que solo habian platea pues ahi puedo pagarla,es,aparecian piso alcanza dejaba seleccionarla momento anadirla jajaja cesta decia agotada cada solo habian platea pues puedo pagarla
1967,extrano demasiado jajaja samuel quero llorar,es,extrano demasiado jajaja samuel quero llorar
1968,estoy triste,es,triste
1971,llegue jajaja casa jajaja llorar para descargar los dias tan mierda que vengo teniendo,es,llegue jajaja casa jajaja llorar descargar dia mierda vengo
1973,por que andas triste corazon una mujer tan hermosa debe andar triste,es,andas triste corazon mujer hermosa debe andar triste
1974,que triste vida pero que bonita,es,triste vida bonita
1975,necesito algo que haga llorar seguro hoy empiezo,es,necesito haga llorar seguro empiezo
1977,esta semana pego cachetazo realidad cuanto jajaja importante aprender jajaja ser paciente para que las cosas salgan bien toda impulsiva ansiosa acepto pero aborrezco,es,semana pego cachetazo realidad cuanto jajaja importante aprender jajaja paciente cosas salgan bien toda impulsiva ansiosa acepto aborrezco
1980,pienso que las personas subestiman mucho que alguien con depresion ansiedad pueda llegar jajaja vivir jajaja sentir hacer lejos que puede llegar todo hasta que enteran que quiere quitar vida tenido intentos pasado suicidarse tomarian enserio,es,pienso persona subestiman alguien depresion ansiedad pueda llegar jajaja vivir jajaja sentir hacer lejos puede llegar enteran quiere quitar vida intentos pasado suicidarse tomarian enserio
1982,eso triste porque hasta varios del equipo rojo hacian bromas que segun ella hizo botox cuando aunque hubiese hecho tiene nada malo,es,triste varios equipo rojo hacian bromas segun hizo botox aunque hecho malo
1983,estoy muy nervioso,es,nervioso
1985,ahora decilo sin llorar noijawlekfjwalkj,es,ahora decilo llorar noijawlekfjwalkj
1990,bebe por eso quiero llorar,es,bebe quiero llorar
1991,desde tuve comida unico que tomo ahora agua nunca sufri verdad pero mamita que triste comerse unas papitas con agua,es,covid unico tomo ahora agua nunca sufri verdad mamita triste comerse unas papitas agua
1992,esta cansado,es,cansado
1995,voy jajaja poner jajaja escuchar harry llorar por pobre indecisa,es,jajaja poner jajaja escuchar harry llorar pobre indecisa
1996,cansado fastidiado everyday,es,cansado fastidiado everyday
1997,home viven cita mina psicologa comenteille que sinto moi depresiva que ansiedad sair jajaja calle que gusta levantarme cama solas manos después que paso home non veo capaz levantarme mana nin ningun outro dia solamente sei que teno que falar,es,hoxe tiven cita mina psicologa comenteille sinto depresiva ansiedade sair jajaja calle custa levantarme cama polas manas despois pasou hoxe vexo capaz levantarme mana ningun outro soamente teno falar
1998,ansiedad esta pelea robby eli,es,ansiedad pelea robby
2000,bueno queria hablar tengo microfono cosas pasaron podcast aun enfoque negativo pero tengo obligación advertir que hablo temas sensibles salud mental general depresion idearon suicida autismo,es,bueno queria hablar microfono cosas pasaron podcast enfoque negativo obligacion advertir hablo temas sensibles salud mental general depresion ideacion suicida autismo
2002,termine triste mal cogida pero termine,es,termine triste cogida termine
2004,dios tiene una pinta nerviosa,es,dios pinta nerviosa
2005,ando triste del cora,es,ando triste cora
2011,aplauso jajaja por priorizar patria ante cualquier otro interes unico preocupado molesto seria criminal petro sus aliados corruptos los ciegos torpes que siguen,es,aplauso jajaja priorizar patria cualquier interes unico preocupado molesto seria criminal petro aliados corruptos ciegos torpes siguen
2014,absolutamente cierto triste hay muchas personas frustradas depresion por lograr deseado cuando han puesto vida esfuerzo monumental objetivo,es,absolutamente cierto triste muchas persona frustradas depresion lograr deseado puesto vida esfuerzo monumental objetivo
2016,hice llorar escucharla llorar tambien llore inconsolablemente siento peor hermana del mundo mundial,es,hice llorar escucharla llorar tambien llore inconsolablemente siento peor hermana mundo mundial
2019,increible insensatez del faltan dias jajaja que cumpla los seis meses tengo tiempo ese momento mandan vuelta diciendote que puedes recibir dosis despues salen jajaja llorar los medios que población vacuna,es,increible insensatez faltan dia jajaja cumpla seis me tiempo momento mandan vuelta diciendote puedes recibir dosis despues salen jajaja llorar medios poblacion vacuna
2021,verdad pone triste que pienses eso,es,verdad pone triste pen
2023,nana entiendo por todo que debes estar pasado quieres puedes hablar cuando quieras entiendo que puedas estar muy cansada que pase mismo siempre menor consejo que mantengas mundo que aunque afecte intenta dejar que haga mucho,es,nana entiendo debes pasado quieres puedes hablar quieras entiendo puedas cansada pase mismo siempre menor consejo mantengas mundo aunque afecte intenta dejar haga
2026,dios toy triste,es,dios triste
2027,siii que cool jajaja mis espero ansiosa esa revelación jaja,es,siii cool jajaja espero ansiosa revelacion jajs
2028,cansado fisicamente con dificultad para respirar,es,cansado fisicamente dificultad respirar
2029,triste sepan jajaja sabe conoce,es,triste sepan jajaja sabe bonice
2031,siento triste pasado nada,es,siento triste pasado
2033,quien dijo miedo charla universidad europea para los alumnos bachillerato sobre como controlar ansiedad ante los examenes jovenespreparados formacionintegral bachillerato,es,dijo miedo charla universidad europea alumnos bachillerato controlar ansiedad examenes jovenespreparados formacionintegral bachillerato
2034,pero ansiedad dice contrario,es,ansiedad dice contrario
2036,todavia sorprende que haya gente que cree que tengo intenciones danar jajaja alfred wey wtf unico que hago aqui llorar nunca voy jajaja conocer ajahsgsys,es,todavia sorprende gente cree intenciones danar jajaja alfred unico hago aqui llorar nunca jajaja conocer ajahsgsys
2038,triste seria que sacases mas nota que,es,triste seria sacases nota
2040,orgullosa triste por,es,orgullosa triste
2042,verdad que todo que esta pasando pone triste que dias mierda,es,verdad pasando pone triste dia mierda
2045,cronicas parentales estoy madre unica hija unica salimos centro creo que ultima vez que quede tan cansada fue cuando empezo jajaja caminar queda algo ampliaremos,es,cronicas parentales madre unica hija unica salimos centro creo ultima quede cansada empezo jajaja caminar queda ampliaremos
2046,porra bicho queria ficar triste,es,porra bicho queria ficar triste
2050,puedo creer que paso ano desde que creo duramos monton voy jajaja llorar,es,puedo creer paso creo duramos monton jajaja llorar
2051,estar todo tiempo triste volvio costumbre,es,tiempo triste volvio costumbre
2052,triste cansada amor,es,triste cansada amor
2062,que nadie diga nada que pone jajaja llorar,es,nadie diga pone jajaja llorar
2064,son muy maracas las leonas ahi ponen jajaja llorar nunoa las defiende valentia tienen frente jajaja personas desarmadas contra ancianos jovenes,es,maraca weonas ponen jajaja llorar nunoa defiende valentia frente jajaja persona desarmadas ancianos jovenes
2067,vas jajaja llorar como llore vas jajaja recordar primer vez que beseeeee,es,jajaja llorar llore jajaja recordar primer beseee
2068,cansada aburrirme cualquier hombre segundos,es,cansada aburrirme cualquier hombre segundos
2074,jajaja veces cuando estoy triste youtube listo playlist pone repente baby baby baby persona salido nada pasan todos los males durante los tres minutos que dura muy magico este juego,es,jajaja veces triste youtube listo playlist pone repente baby baby baby persona salido pasan male tres minutos dura magico juego
2076,como hora llorar,es,hora llorar
2078,voy jajaja llorar todo que quiera,es,jajaja llorar quiera
2079,estoy tan feliz quiero llorar,es,feliz quiero llorar
2080,todo triste esperando que llegue momento volver jajaja ver estar con amorcito,es,triste esperando llegue momento volver jajaja amorcito
2082,tambien quiero decir estoy triste caiga alguien jajaja casa con ades manzana,es,tambien quiero decir triste caiga alguien jajaja casa ade manzana
2083,necesito dejar chuparle orto jajaja este chabon tiene cansada,es,necesito dejar chuparle orto jajaja chabon cansada
2087,cansada ver como todos salen con amigos tengo,es,cansada salen amigo
2089,gracias reza por has algun ritual estoy demasiado nerviosa,es,gracias reza algun ritual demasiado nerviosa
2090,triste porque nunca van jajaja dedicar mis temas favoritos,es,triste nunca jajaja dedicar temas favoritos
2094,estoy tan cansada puse jajaja llorar mientras estiraba masa tarta jjj siempre dramatica,es,cansada puse jajaja llorar mientras estiraba masa tarta jsjsj siempre dramatica
2095,estas comparando ahora que afición tig fue por situación grave comida revisa antes que cosa volviera jajaja poner mas grave cuando estaba aforo permitido uni tope va vacio burro,es,comparando ahora aficion situacion grave covid revisa cosa volviera jajaja poner grave aforo permitido tope bbva vacio burro
2097,seriamente que tan desesperado tienes que estar para pagar una suscripción onlyfans,es,seriamente desesperado pagar suscripcion onlyfans
2098,mejor que ayer vos hermosa seguro super ansiosa por tocar,es,mejor ayer hermosa seguro super ansiosa tocar
2100,bueno estoy quedando pelada por ansiedad hermanos por momento pienso que puedo llegar tan lejos con esto otro descubro piso llano medio cabeza twitteo para llorar,es,bueno quedando pelada ansiedad hermanos momento pienso puedo llegar lejos descubro piso llano medio cabeza twitteo llorar
2103,por que angel oscuros cabellos quedo prendado inmediato que era ese demonio celestial que parecia brillar bajo cielo rojo del vacio conocia sentia que iba jajaja quedarse ahi por resto vida cuando conflicto termino kyoko parecia,es,angel oscuros cabellos quedo prendado inmediato demonio celestial parecia brillar bajo cielo rojo vacio conocia sentia jajaja quedarse resto vida conflicto termino kiyoko parecia
2104,hoy dos personas van dejando plantada pondre jajaja llorar,es,persona dejando plantada pondre jajaja llorar
2105,aunque jajaja durar dia voy jajaja volver jajaja depresion,es,aunque jajaja durar jajaja volver jajaja depresion
2106,mucha ansiedad como tuitea,es,mucha ansiedad tuitea
2107,esa cruda realidad educación venezuela pero mas triste jajaja que gobierno reclamamos gobierno solo ciego mudo paso dirige burro con perdon estos animales que sirven para llevar carga pero otro sirve,es,cruda realidad educacion venezuela triste jajaja gobierno reclamamos gobierno solo ciego mudo paso dirige burro perdon animales sirven llevar carga sirve
2111,exteriores dandole compania jajaja aquella poderosa gata negra que observaba con cautela como los angeles entraban salian los muros del vacio entre ellos hermoso angel largo cabello negro lograba mezclarse con los demas quienes portaban hermosas hebras,es,exteriores dandole compania jajaja aquella poderosa gata negra observaba cautela angeles entraban salian muros vacio hermoso angel largo cabello negro lograba mezclarse demas portaban hermosas hebras
2112,something new desde caida del cielo muchos celestiales llegaron jajaja buscar refugio reino del vacio todos los guardias estan siempre alerta caso que algo ocurriese tal como kyoko rey dejo jajaja felina encargada vigilar con madre los muros,es,something caida cielo celestiales llegaron jajaja buscar refugio reino vacio guardias estan siempre alerta caso ocurriese kiyoko dejo jajaja felina encargada vigilar madre muros
2123,triste porque quieres fiar boleto para verte ceremonia,es,triste quieres fiar bolete verte ceremonia
2125,gusto primer episodio acapulco shore porque estoy triste desde manana verdad estuvo del asco,es,gusto primer episodio acapulco shore triste manana verdad asco
2127,niveles ansiedad estres por las nubes,es,niveles ansiedad estres nubes
2129,pone muy triste hablar contigo entiendo porque supone que echo menos,es,pone triste hablar contigo entiendo supone echo menos
2133,todo dia triste,es,triste
2137,triste porq hoy ultimo dia vacaciones,es,triste porq ultimo vacaciones
2141,dejad llorar porq gente vaya gym lugo pesaossssssss,es,dejad llorar porq gente vaya lugo pesaosss
2142,basta que justicia ignore casos violencia infantil jajaja padre desesperado por proteger jajaja hijo escuchen jajaja las los ninos que son victimas escuchen jajaja los padres madres que quieren salvarlos esa situación justiciaparahumbertito,es,basta justicia ignore casos violencia infantil jajaja padre desesperado proteger jajaja hijo escuchen jajaja ninos victimas escuchen jajaja padre madres quieren salvarlos situacion justiciaparahumbertito
2144,voy jajaja llorar tom miel nunca dejes ser nuestra payasa personal porfa,es,jajaja llorar miel nunca dejes payasa personal porfa
2152,jajaja que encontraste mio algun envase vacio algo jajaja,es,jajaja encontraste algun envase vacio jajaja
2154,los niveles bajos ese nutriente asocian con mayor riesgo demencia deterioro intelectual depresion omega fibra vitaminas fashionblogger modaenlaciudad,es,niveles bajos nutriente asocian mayor riesgo demencia deterioro intelectual depresion omega fibra vitaminab fashionblogger modaenlaciudad
2157,boda pense mismo jajajaja dije largo jajaja llorar ahi los retengo para que hagan dejar llorar,es,blda pense mismo jajajajsj dije largo jajaja llorar retengo hagan dejar llorar
2158,los presto cuando quieras dejas asi cansado,es,presto quieras dejas cansado
2162,depresion desde chiquita jajaja,es,depresion chiquita jajaja
2164,mis ataques ansiedad son algo como bueno ahora vas jajaja dormir todo dia cuando despiertes vas jajaja llorar hasta que den ganas vomitar,es,ataques ansiedad bueno ahora jajaja dormir despiertes jajaja llorar ganas vomitar
2166,que comido una tableta chocolate completa porque tengo ansiedad,es,comido tableta chocolate completa ansiedad
2169,tonta marta puede dejar llorar por una broma estupida que hubieran puesto una pistola cabeza secretada,es,tonta marta puede dejar llorar broma estupida puesto pistola cabeza secretgala
2170,mis dos mood simultáneos despues del psico killer largarme jajaja llorar posición fetal pensando pegarme cochazo fue todo para que seguir haciendose problema drogo total vida corta,es,mood simultaneos despues psico killer largarme jajaja llorar posicion fetal pensando pegarme corchazo seguir haciendose problema drogo total vida corta
2173,terminado naruto vida esta vacia existencialmente sin sentido lamentable,es,terminado naruto vida vacia existencialmente lamentable
2175,nerviosa que esta pobre guacamayo secretada,es,nerviosa pobre guacamaya secretgala
2176,solo quiero llorar,es,solo quiero llorar
2177,estoy cansada hacer nada,es,cansada hacer
2178,tengo ansiedad las nubes siento presion pero creo jajaja dar algo,es,tngo ansiedad nubes siento presion pexo creo jajaja
2179,repetir algo como veces ignoraron dieron ganas llorar soy esto,es,repeti veces ignoraron dieron ganas llorar
2180,estuve jajaja punto llorar cuando fueron,es,jajaja punto llorar
2181,unico que hecho con vida este ultimo mes llorar ver todos los run bus hahaha,es,unico hecho vida ultimo llorar hahsha
2183,mejor llorar por las pastillas que por los positivos,es,mejor llorar pastillas positivos
2184,respeto dices pero para nada comparto puedes decir problema del united radica solo sistema juego cuando nos hemos cansado ver jugadores caminar cancha con nivel bajísimo una suma todolo,es,respeto dice comparto puedes decir problema united radica solo sistema juego cansado jugadores caminar cancha nivel bajisimo suma todooo
2187,ven bien pero realidad estoy triste por poder jajaja paso con mis amigos todo finde,es,bien realidad triste poder jajaja paso amigo finde
