,Comentarios
614,"- Ministro do STF mando fiscalizar pai que no vaciar o filho. Enquanto isso posso mito tá preocupado com jajaja padronização da instalado de taxímetro. Estamos salvos, galera!"
615,estoy cansada de tantas cosas
616,meu Deus o essa mulher ta arrugando ela tá mío desesperada n precisa disso
617,gargolas muito triste né as pessoas podia so dejar as otras em paz
618,Hmn estoy cansado aún ni stream y he hecho me quiero morir
619,me compré un delineador que no era el que quería y me puse triste? Si
620,Esta semana será La más feliz de toda mi vida Será tan inolvidable Que voy jajaja llorar de tanta alegría Mi amor sé que vas jajaja hacer En todas las cosas siempre la primera Despacio te vas jajaja ir abriendo Como hacen las flores en la primavera
621,"eu sinto tanta falta, triste em saber que nada vai ser como antes 😔"
622,"Estoy muy cansada, muy harta de todo."
623,@eudaizzie libro mais triste que existe eu dique com dor de cabeza de tanto chocar
624,jajaja Marta no le han puesto ni un triste video de lo irrelevante que es #SecretGala1
625,"quiero llorar un ratito, así que veré lalala"
626,@anittexgab Tik tok que triste
627,dios que tan triste tiene que ser mi vida para que me ponga mal porque me enamoro y sufro por personajes literarios porque me rompen el corazón y encima nunca los voy jajaja poder conocer déjenme sola
628,pode ser na minha ou na sua casa vai me dar casera te dejar cansada dormir de cochina pela madrugada minha compania no é só baladaAaAa
629,te com depresivo olvido uma playlist triste
630,"Momento "" no sé si reírme o llorar """
631,@AlwaysHunteer ihuuuuuuuuu ansiosa pro meu áudiooooooo
632,finalmente assist euforia e eu te jajaja P jajaja I X O N jajaja D jajaja nessa série (o q é um tiquinho estrano mas uds KKKKKKKK) e já te ansiosa pro próximo ep jajaja
633,e and jajaja get voltar vas for mts coisinhas no cabello nunca fui triste
634,@oficialmussi adm já te cansado de pedir ME SEGUE PELO AMOR DE DEUS UM MILHÃO DO MUSSI
635,"Tô cansada deseas bragas de random, os mininos se adora todos so talentos e vas fica nessa"
636,estoy muy nerviosa dios mañana se viene cagalera fijo
637,Tô cansado pra caramba 😓
638,quiero apuntarme al programa de iba pero me pongo muy nerviosa delante de las cámaras y sobretodo cuando tengo que hablar con gente ajena🥲🥲🥲🥲
639,jajaja vo dele vai ficar super triste quando descubrir que eu no sou mais da família 😭
640,cómo puede ser que esté tan cansada es DIECINUEVE DE ENERO
641,documentarlo da jovem pan sobre os refugiados da venezuela é triste.. ainda tem gente que depende uma tortura desea 😕
642,se que estoy tranquila y sin ansiedad cuando mi cuerpo reacciona haciéndome crecer las uñas sin que se agrieten solas&lt; 3
643,@Matthew_triste [🔒] Quiero que bailemos
644,Mto triste quando jajaja extenso de cilios cometa jajaja caer 😿
645,"To lindo uma one-shot de más que tava me dejando em depresivo de tío triste, mas jajaja escrita é perfecta pra caracho, e agora ainda veo um plot twist que puta merda... uma obra-prima em formato de panic."
646,amigo la transición que hay entre estas 2 canciones es tan hermosa que dan ganas de llorar 😭
647,@lmjbmnjr Que triste isso
648,@Demsidoka jajaja'pense arma c plus triste de faire une win une loose que de perder plusieurs games d'alfiles
649,Nunca fui triste 😔♥️♥️
650,"basta, voy jajaja llorar de"
651,"com fome pra comer o que river, cansada demas pra cocinar qualquier coisa"
652,"Dois dias que pegue tribus pra vi embora me dijo num estado de nervio tío grande! Passagem carísima sem um pingo de conforto, sai do servido cansada pega um tribus notado em sé.. nooo trabajador sobre nem pra esses cu mejorar transporte público só sabe sugar da populacho"
653,@esgravesiempre Me hiciste llorar
654,kiero novia si t mando fotos d está perrito t conquisto ¿favor estoy desesperada
655,"Cansado de gustar de homem!! Sempre q eu gusto de alguém essa pessoas é escrita, incríble"
656,Voy jajaja llorar mientras escucho falling
657,"@CarlosVazPorto @moniquinhacg Wowwww coisa boa, nem te ansiosa ok 😍"
658,Literalmente cansada 😔.
659,Dia 1 d COVID y ya estoy cansado 🤦
660,Vitor Kruger 🇲🇨🐎: vamo tomar uma no tape Vitor Kruger 🇲🇨🐎: jajajajaja Alexsander Severo Kiefer: agra? Vitor Kruger 🇲🇨🐎: pelas 21: 30 Vitor Kruger 🇲🇨🐎: tomar mas Vitor Kruger 🇲🇨🐎: vivir uma música triste
661,mala idea la mía d probarme el uniforme del colegio ahora solo quiero Llorar y preferiría morirme antes d tener k utilizar esa cosa para ir al colegio
662,@felixsolzin o povo no fica cansado de escher tanto o saco assim?????
663,se fosse crime ser triste eu tava em prisa perpétua
664,"Eu to muito feliz com tudo isso de legends arces, finalmente to ansioso com um jugo novo de pokemon, eu espere tanto por esse momento. OBRIGADO ARCEUS!!!"
665,VOU VER FINE LINE AO VIVO lumbre agora disso nunca fui triste
666,"@marinamcano Nada de llorar, jajaja dormir"
667,meu deus eu to tao triste..
668,@meliigallarrdo @AvrillAcostaaa estoy depresivo no quiero ver jajaja nadie yo.
669,"@soujornalistahh tenho dois TCC esse ano, eu te desesperada socorro"
670,"El Pre capítulo de Euphoria de Jules me interesa jajaja tantos niveles, yo hoy no quería llorar pm"
671,"Estuve una semana mandando mails en inglés y antes de tener una junta le digo jajaja la coordinadora de algo en que voy jajaja participar, que mi inglés escrito es mejor que el hablado jajaja lo que me dice: ay yo soy de PR y hablo español! siento que me que me había preocupado demás al pedo"
672,tocar instrumentos y cantar me ha salvado de tantos ataques de ansiedad
673,essa mona eslovaquia desesperada por um macho ta quise subiendo pelas paredes jesus mulher ta no periodo fertil é
674,o sea es una rola triste pero me siento not
675,@dorzmas fico triste com uma coisa deseas de
676,estoy muy triste.
677,Queria ter alguém pra ser um casal e tu me odiar kirk aí que triste
678,@nathanxsccp triste
679,arrogante Bah se ta bem..... to preocupada agora
680,se ve horrible voy jajaja llorar
681,Te ves triste
682,quiero estar triste en italia
683,"acabe de escuhar salvame do red verso pagode, eu nunca fui triste"
684,"#Parrillita hoy vacio, entraña, mollejas, chinchulines, salchichitas, tapita de asado, merci y chéri"
685,"Me quede sin amigos, es triste pero es verdad"
686,mt medo de gustar de interagir com alguma pessoas e ela me echar insuportável ou desesperada
687,una se puso triste por no comprar entrada Y NO SIGUE NI jajaja HARRY EN IG chau andate
688,triste dos jajaja Rose dos orchard vir em lootbox 😢
689,"Cada nada los distribuidores suben los precios, me estoy cansado de remarcar. Igual nada comparado con noviembre diciembre"
690,Me quieres hablar de depresión jajaja mi que me avente 6 años en la mierda. Ponte verga señor.
691,@eduardx_ aí amo eh triste viu KKKKKKKK se dejar fico jajaja semana toda sem colocar jajaja mío no foto
692,primeira terapia do ano e minha psicóloga tá mais preocupada comigo do que quando eu tive crie no medio da rua as oh
693,estoy por llorar porque se me rompieron dos uñas
694,Estou triste que passed o dia trabajando e perdi mas sofocas
695,"Hoy el día me demostró q por más onda que le ponga si me quiere basurera lo va jajaja hacer. Terminar con la pantalla toda astillada de mí teléfono me dan ganas de hacerme un bollito y llorar, que este día ya ni siga."
696,@CelioPicheli Nao tinha como. Time ta cansado
697,"@mimixggukk Si quieres llorar sin que nadie te vea, si 🤺"
698,meu Deus eu to tío ansiosa tío tío tío
699,"no actualizo ningún au, pi triste"
700,""" E se o mundo caer pra mim, eu to preocupado como ela tá.. """
701,"@correio24horas Não tá ganando dinheiro com música, agora vai apelar pra política. Triste."
702,Ni tiempo pa llorar tengo
703,desde anoche que me sentía inusualmente cansada y de hecho dormí bastante lo cual es raro y no quería levantarme... ahora resulta que estoy sintiendo que se me cierra la garganta con un poquito de ardor 🥲🥲🥲
704,"@tetelkm @SamGataokkj @tracklist Minha me no, e dedos quem ayudara meus irmos mais novios era eu, minha me cegada cansada do trabajo ainda tinha que fazer tanta e alojo pro dia seguiste"
705,"baby, no temos jajaja menor chance é triste, mas é verdade eu sou muito bom com despedidas"
706,graciosisimo hacer mañana presentaciones con la cara de mono drogadicto de llorar por la noche
707,To tao triste pelo ducha
708,Ahhhh macho salir jajaja meter rally en los cuatros en familia casi me cura la depresión
709,"Señor, haz el milagro con esta taquicardia que me tiene desesperada.. 😭"
710,te triste pensando que no vou conseguir ficar com estas trancas tanto tempo pq tá tío pesado 😞
711,Véi te muito cansada e tipo?????
712,"@daymelloreal Estou triste testeo positivo para nova variante corona vírus, tenho um bebé pequeno e outro rapazinho agora e me cuidar e orar bastante para papi do cu restaurar minha salde."
713,"@JJE0NCAT JUANA T AMO BASTA, QUIERO LLORAR"
714,Que cansado que estoy
715,@SceneryOfMoons fue lo que me recetaron para el comida pero no me la pude poner porque me dolió y la aguja no entraba y me puse jajaja llorar
716,"@AbatasteST Es vocación, sensibilidad y trabajo en equipo, felicidad para ambos aunque el niño se sorprende ver llorar jajaja su terapeuta, Dios les bendiga, son momentos que se merecen compartir..."
717,"Vosotros todo el tiempo: los tirantes son horribles, que los quiten ya, Harry no se ve bien Vosotros hoy: estoy triste, se acaban los tirantes, los voy jajaja echar de menos??????"
718,eu sou tao triste
719,"@AVBAR99 jajaja si tan raro, dizque ansiedad pensé que le podía llamar intuición de"
720,"@farmagemma Pues tal como lo defines y porque yo he pasado por ello, te diría que es ansiedad y es una mierda. Y con Lavanda no se pasa … ojalá."
721,"@JovanaGamepenis É q acabo fallando até demas, e tom tem um pessoal que eu fico com medo de dejar preocupado"
722,@cyjparker @txicyeongyu Eu fijo tío triste: (((isso cria tantos traumas q n tem terapia q resolví
723,me dejais cosas al cc favor q estoy triste
724,cansada de ser pobre e no poder fechar meus caprichos de compras de ropas
725,No quiero ir al cochecole mañana. Hoy he tenido clase por la tarde y mañana. En las dos casi lloro. Estoy muy cansada.
726,"@GneracionJohan Sé que no viene mucho al caso pero estoy nervioso por el partido de mañana de la verdad es que el Athletic siempre se crece jugando contra nosotros y necesitamos esta victoria, crees que Ansu sea titular? O entrará desde la banca con en la supernova?"
727,Cuando voy jajaja dejar de llorar cuando expreso lo que me molesta dios
728,"@77Luucaas sempre que to triste, asisto esse vídeo e fico feliz"
729,@Guso Si. Es muy triste. Te diría que deprimente. Casi todos los personajes son tristes. Algunos muy enfermos.
730,"@ffprimer Não vou usar código no kwai, te desesperada mas também no é pra tanto kkkkkkkkkk"
731,Que triste estoy
732,Voy jajaja llorar me lo perdí
733,te tío cansada por desee
734,"es que estoy pasando los peores días de mi vida entre que estoy malísima, que tengo la ansiedad por las nubes y que me siento más sola que nunca me queda nada para literalmente desaparece de todos laos"
735,ayer me puse te triste x quiero nadar con tiburones y hacer investigaciones y todo eso y ahora me acordé y me puse triste otra vez
736,Estoy tan harto y cansado
737,@_alejandrogeder @iamjessicafs07 @edd_brathwaite Ahora dilo sin llorar
738,@EELV @yjadot @PEStrasbourg @EmmanuelMacron Le parlamento europeo n'est pas une tribuna pour faire votre champagne. Ridicule et contre-productif tant pour la France que pour l'cologne que vous pretende defender. jajaja'ai de mins en mins envie de votar colo à cause de vos mesones réguliers. Triste.
739,mi mayor error fue poner tn no paro de llorar
740,Nunca fui tío triste
741,triste por motivos de: saudade de fumar gusano
742,@anmaricalta Normalicen hablar del vacío existencial que queda luego de ver Banana Fish de
743,Cansada de recibir pouco e me dar muito
744,Que triste usar una muerte para tener un trabajo en el estado...
745,"@auronplay @SquidCraftGames Increíble, sinceramente estoy muy ansiosa y emocionada por lo que depara el día de mañana. Suerte Auron, pasar las pruebas con coraje y humildad."
746,Eu aposto um dedo que esse negro vai ficar desesperado atrás da jade pico e se ela no for BURRA vai dar pra ele
747,"jajaja única coisa que te triste é que o roll vai acontecer numa segunda feria, quatro horas da tarde 🤡 ninguém vai poder ir me levar hahahaha"
748,ansiosa pra ver douglas brillando nas estas kdk
749,"Que ganas de llorar mil horas, tanto esfuerzo tirado jajaja la basssssura"
750,"Fa, mi primer día y lo di todo, estoy re cansada 😅"
751,"NOSSA, COMO EU SOU TRISTE, PQQQQQQQQ???????"
752,ng p fazer aviãozinho p mim 😩 vida triste
753,Mi vecina de arriba se mantiene peleando con el novio y admiro bastante su capacidad de no llorar durante las discusiones. Yo quisiese de
754,Eu fico tío triste
755,to comprando jajaja ficar ansiosa pra ver como jajaja escola vai ser esse ano 🤨🤨🤨
756,"Una aquí ansiosa pensando que podía tener hipotiroidismo y lo estaba confundiendo con una recaída en la depresión, pero no, tengo los exámenes de la tiroides muy bien (toda la vida preocupada porque toda mi familia tiene hipotiroidismo), la cosa es que quizás si recaí de."
757,Mi mayor miedo es volver jajaja caer en la depresión
758,@amarantara13 Pues me voy jajaja llorar
759,"si cuando veo una cucaracha lloro, si veo ese bicho me darían tres ataques de ansiedad MÍ-NI-MO"
760,ANITTA VAI CASAR e eu nunca fui triste
761,@cioccari_ triste 😞
762,@Lea_arauj0 Vraiment y ’ jajaja rien de triste haha …
763,@loqskank Triste realidad kirk
764,gente minha família n tem sed de mim te triste
765,eu amo mt esse vídeo tenho salvo pra ver and eu to triste: ((
766,@favsniki MANO SKKSAKKAKAKAKAA sempre que eu me senti triste eu viu vir aqui va isso JURO AKAKAKSKSKSKSK
767,"Normal soy idiota, ahora imaginate como soy nerviosa"
768,"@eduardopaes Como presidente de associação de moradores de comunidad, sempre te apoye mesmo sabiendo das dificuldades, no tem como apoyar essa algo eleitoreira, sem lógica, junto com jajaja polícia deveria chegar Comlurb, CEDAE, Light, e outros servimos, já vimos esse filme, o final é triste"
769,"To triste, mt ruim ficar com falta de ar Eu quero meu inhalador"
770,"Sair do trampa estas horas e ainda no tá cansado de trampa, te no paraíso"
771,só tem gay triste aqui
772,DIÁLOGO •: fico triste.: mas va n precisa fica •: mas eu fico.: … … … … …
773,"eu te que nem aquele meme lá que eu no ahi agora "" fico muito triste com uma notícia deseas """
774,dios hace meses que no estaba así de triste 😿
775,Me dan mucha ansiedad las fotos que se toman en el espejo y tienen un cagadero atrás 😵‍💫😵‍💫😵‍💫😵‍💫 me dan ganas de ir jajaja recogerles su recámara 🥺
776,cansada disso já!
777,@caioomab EU TBM nossa ai te triste
778,Claro q voy jajaja ver after y voy jajaja llorar
779,@GNocturnaMX @ElTocinoDelDia Todo puede pasar aquí en nuestro país; qué triste ver tanta violencia y tanta impunidad 😞
780,"no estoy cortante, estoy triste perdón."
781,Que triste me siento me hace falta esas cosas que dicen mentiras y se cortan el pelo cada dos semanas
782,"Trabajar, trabajar, Huy, ya estoy cansada, llegué jajaja casa al fin voy jajaja descansar, espero que ustedes también, feliz noche amigos los quiero de"
783,"Chale, y él que iba con ese motivo. Nunca le dejan culearse jajaja Rick. Steph triste."
784,agora jajaja notaria que trabalhou o dia integro vai dormir sem comer mesmo pq to cansada demas pra fazer tanta
785,"@MiltonBituca Que lindo Milton. Eu tinha 06 anos quando ela se foi, e me libro da la creia... jajaja minha me ficou muito triste, e eu no tinha entendido directo. Linda homenage!"
786,"Edu Aguirre tiene toda la razón, el Atleti tiene un enorme potencial ofensivo, Simeone es y será el mejor entrenador de la historia del club pero ahí fuera hay entrenadores que podrían adaptar su juego mejor al del equipo, es triste pero puede que estemos ante el fin de una era"
787,@veliscythe ANSIOSA
788,"Mais uma vez entre tantas vezes. Me encontro no meu mundo asolado, volando para jajaja tela do meu celular. Ouvindo jajaja música mais triste da playlist, relajando em cada melodia que ela faz sentir, colocando pra fora lágrimas que ninguém quer ver. Eu estou melhor assim"
789,Voy jajaja llorar 🥲
790,@Ciscover_ @Virtuals7gg Me pones nervioso 🥺
791,El cariño que le tienen todos.. me voy jajaja llorar de nuevo
792,"Y ahora me bloquea, vaya "" amigas "" me echo me rio por no llorar ya jajaja"
793,"@ana__pires é triste todo dia, q mentira"
794,Los baños del trabajo son los que en estos casi 3 años más me han visto llorar
795,"Pensé que estaba depresivo pero no, es la dieta full proteica que me hace estar más cansado qué el gim de"
796,Uma costosa triste
797,Voy jajaja desactivar hasta que consiga entradas para Harry o hasta que se me pase la depresión que siento en este momento
798,@poserdemetallic @sertalinda @gatinhosadboy KSskskskskskkskKKSKSKSKSKSKSKSKSKSKSKSKS MANO jajaja GENFE EH MTO ASSIM jajaja JULHA EH TRISTE TODA HORA
799,amante tenho que fazer taaaan coisa que estou cansada só de pensar
800,"Triste fin, como jajaja boçalidade acabo com esse cara"
801,@akdnwisj Badta de ponerme nerviosa
802,este libro parece que lo escribieron mis patas y aun así me hizo llorar jajaja
803,Voy jajaja llorar hasta desintegrarme
804,Muito ruim va ter vicios quando tá ansiosa. Daqui jajaja pouco minha boca tá toda cortada de tanto morder e eu nem sinto que te fazendo.
805,"@ENBYDAMIAN GRAÇAS jajaja DEUS no tinha o eu queria, eu ia ficar tío triste!!!!!"
806,"puede jimi y jungkook dejar de besuquearse y aparecer porque voy jajaja llorar, ya no es gracioso lt; / 3"
807,"@Postmor62402561 Vos me estás motivando para leerlos de nuevo. Leíste "" La increíble y triste historia de la Cándida Eréndira y su abuela desalmada ""? Me encantó."
808,"triste q ha n vai ter festa, mas seria mais triste ainda jajaja Linn perder jajaja de festa né … entro molino tá certo"
809,"Tava aqui de boa comiendo sírvete mas aí do nada eu cometer jajaja pensar "" karah eu nem sou tío triste assim mano, vou apagar aquellas merdas do twitter "" aí continue em um dilema e acabo que meu sírvete derrite e eu no vou apagar as coisas tristes, É isso."
810,""" Aff to triste que nao to me ejercitando "" procede jajaja me mandar esta foto..."
811,Mis playlist me hacen llorar
812,"Nos dejaste verte cansada, frustrada, enojada con las injusticias y nos compartiste verte animada, sensible, emocionada. Se me llena el corazón de orgullo lo lejos que llegaste y que aún tienes más brillo por mostrar, y repito, siempre de la manita hasta el final. #CodigoWaves365"
813,"Las clases están siendo bastante estresantes, cuando acabe este grado hablaré sobre él para advertir jajaja más gente que ni de coña van jajaja recibir la enseñanza que esperan Estoy con unos ataques de ansiedad e irá que no son nada sanos, espero que se relaje en febrero esto"
814,@askomartin Decilo sin llorar ahora Vikingo
815,"@tadeu_fo Pois é Tadeu, triste demas"
816,toda vez que eu escudo Sufjan saco triste por no ter repertorio cultural pra entender as referencias
817,"que aca solo me sigan flore y sus amigas es muy triste, deja en evidencia mi amplia vida social!!"
818,"@BlackCanaryBRA É que se jajaja Gente pensar jajaja Laurel Ficou num Limbo durante Os Novos 52 Né, o é Triste jajaja que ela era Uma Personagem Tão Importante"
819,"Uribe llena plazas la gente sale jajaja saludarlo sin necesidad de llevar indígenas en chivas ni pagar 50 mil por asistir al parque ni entregar litros de aguardiente para que griten su nombre. @petrogustavo si no paga la plaza quedaría vacía, anda con 1000 indígenas de plaza en plaza"
820,@BenoistHaiz @LatamHailee deja de llorar maricona
821,"@DeniseDresserG @lopezobrador_ Órale.. ahora está profeta son, este mundo, la política, la ciencia, el periodismo.. resulta tan distópico... Qué triste.. lo que me consuela es que todos seremos responsables sobre todo ustedes.. de esta crisis que han generado, porque todo se paga.."
822,Odeio quando tem alguém triste perto de mim. Eu fico sem saber o que fazer
823,"Fav si les cuento mi día "" ansioso """
824,1 poco triste pq leer tics o aus m hace darme cuenta de q probablemente nunca tenga una historia d amor tan bonita no pq no crea q nadie m vaya jajaja querer pero pq ya no me veo capaz d enamorarme d nadie q vertigo estare sola toda mi vida
825,Tô cansado. Vai fazer 15 horas que te directo no estúdio.
826,"La semana que viene tengo sesión pero después por dos semanas mi psicóloga se va de vacaciones, QUE HAGO DOS SEMANAS SIN PODER CONTARLE NADA Y SIN TENER MI LUGAR PARA LLORAR EN PAZ de?"
827,"Y me duele pensar que él jamás demuestra estar al borde de todo, tampoco habla de las dificultades que debe pasar todos los días para estar donde está. Es fuerte y admirable, pero también triste que no tengan la oportunidad de respirar antes de llegar jajaja ese tipo de colapsos"
828,@diggocoelho o que esse corinthiano vai ficar triste hoje é brincadeirinha
829,@AristeguiOnline Y tenemo jajaja #ErnestoZedillo bien preocupado!
830,estou triste. profundamente triste e no sei nada que ayudaria jajaja me dejar menos triste hoje.
831,Cansada de tudo e de todos 🤦‍♀️🤦‍♀️🤦‍♀️
832,@poetanaoamada @ZAMENZA Ansiosa pro Gui dar na cara do nene
833,"Nooooooo voy jajaja llorar y decir, Que no merezco eeeeesto, Porque, Es probable que Lo merezco, pero no lo quiero por eso me voy"
834,"o toda do ansioso é que ele va uma coisa e faz várias interpretações alquilo, e o pior, sobre por isso mesmo sem saber se é de fato ou no alquilo que tá imaginando... No final nem era tudo alquilo."
835,Tô tío cansada e no é casera fisica
836,"This 𝙻♡𝚅𝙴 story is about #The𝕡͟𝕦͟𝕣͟𝕡͟𝕝͟𝕖age y el futuro de mi nena @MAKlSITE y yo, es por eso que no tendrá final triste y al fin dejo la idea de andar going — 𝕊𝕆𝕃𝕆 ♡ si mejor puedo estar with my baby 24/7, si es que @bearenter me da permiso!"
837,"Tiene más tetas que yo, que triste"
838,Si eu escuhar uma playlist triste agora eu vou mandar mensage pra ela
839,Val me llamó de la nada y que porque me extrañaba y yo: jajaja y eso louis Yo: se pone jajaja llorar cuando le tranca pq la extraña también
840,Tô muito cansada que isso 😭 só quero passar esse feriado todo dormindo
841,"Vai ver jajaja prefectura é responsáble só por meter festa na cidade, né ata que o pref. tá preocupado só com carnaval, kakakakakaka. 🤦🏻‍♀️🤦🏻‍♀️ AUUMM, 🧘🏻‍♀️🧘🏻‍♀️"
842,@zeusEba @shysupermercy Fica triste no toma um abracito de disculpas
843,@opradinho1 vai ser triste ver ele jugando pelo lado errado
844,"Eu te muito cansado mas esse calor tá demas, acho que vai deser o pelo"
845,"Quando estuve triste desatame, escupa seus amigos tom, quando te amigo sempre celebra suas conquistas mas va diminuto as conquistas dele va tá sendo medio pára, acho q é uma coisa muito imatura- É isso, sea companeros 🤙"
846,@967ily EU AMO to mt ansiosa p medio do ano justamente por isso
847,x un lado soy capaz de llorar de fringe y x otro soy fan del yonkis definitivamente dios castiga 2 veces y más tb incluso
848,Pelo amor de deus o que é isso? Eu te desesperada já quise desmaye
849,"Ni tú feliz ni yo tan triste, asi es mejor"
850,Una buena hora para ponerme jajaja ver moulins rouge y llorar un rato
851,"@ivan_dalm_3 @elchiringuitotv Pues ale en avión, barco, tren, coche o nadando iros jajaja cualquier sitio vacío y de montad vuestro pais"
852,"o mas triste é que realmente eles se amaba, mas era joven demas para saber como se amar."
853,"Eu nunca me senti tío cansado como hoje, off."
854,@llena_de_vacio Mira mis gatas 🥰🥺🥰
855,@Camrenshiperde1 Ufff pero ojalá que no lo permita por mucho tiempo porque es triste de ver
856,@_shawzer el día en que no nos dé los dos besitos de despedida voy jajaja llorar 😞
857,"🤡 mame si on sait déja la fin au debut c ’ est encore plus triste apres, c ’ est super simple mais a monte toute la complexión de faire un debil amoureux et de faire le debil de sa proper mort 🥲"
858,"queria sair desea casa e sumir por uma semana, onde denham desees aqui me pertubassem, te cansada mentalmente desde lugar, eu no consigo mas"
859,@YoelPausini Que ansiedad
860,@SergioM17263003 @elchiringuitotv Tu cara es más triste aún... Y tu país más triste aún en el mundo del fútbol
861,@Queen_Malor KKSJSKSJ eu to triste dos oh que pena
862,"@Petter_Pain Oxente, o Ron tá no especial do reencontré sim (no? Pra mim que sim) jajaja única pessoas no convidado foi jajaja JK ou quem já morreo kkkkkkk muito triste jajaja vida de quem foi potterhead pra agora tá presenciando isso. Eu já fui tío fe dela, da história de vida dela … no tem como mais."
863,@badaberde Theo tá no medio do caminho disso e tá completamente confuso e ansioso com as aulas presencias Nível estar com medo de no saber se portar
864,"@emperorgummoth Yo una vez estaba desayunando en el rancho de Montse cuando salió jajaja tema las serpientes (tengo fobia jajaja las serpientes); una señora amamantaba jajaja su niño cuando se quedó dormida y al despertar una serpiente se estaba tomando su leche, le dio un infarto. Me dio ansiedad imaginarlo"
865,"@lizethselene_ Maso menos, hoy e sun día de reflexión y no sé porqué tengo ganas de llorar: c"
866,de ho proprio bisoño che min si fianza non mi piace questa versiones di lui triste e jajaja volte controla
867,@oficialmussi TRISTE COM VOCÊ VIU ADM! UM MILHÃO DO MUSSI
868,@diego_gamez una botella de xx vacia en el jeep 😢
869,L'episodio 14 di our beloved summer had no reason to be COSÌ bello ma cosa TRISTE
870,Cuando soy triste tengo la mala costumbre de escuchar música aún más triste
871,", PADRENUESTRO que estás en el cielo.. que la depresión no nos robe la paz"
872,termine jajaja demo do our life 2 e to triste pq so jajaja demo jajaja ta maravilhosaaa to muito ansiosa pra jugar ele todo logo más de
873,acabe de perder 150k no jugo da nuca te me sentido triste
874,@wilfriedjnr Triste reality
875,Quiero llorar y dormir
876,"Genial, hasta viendo la novela quiero llorar"
877,"eu to tao escotada, no consigo mais nem disparar o quanto eu to mal e cansada"
878,"Si van jajaja venir jajaja mi casa, no vengan jajaja hablar del comi. Qué necesidad hay de que yo esté muy tranquila en MI ESPACIO y tenga que calmarme conversaciones que me dan ansiedad???? POR FAVOR PAREEEENNN"
879,lt; de le da ansiedad escribir una carta de motivación para presentarse jajaja un trabajo de
880,"muito cansado, mas vou jugar esse futbol ali na rua da feria"
881,@i69kthv no i do x te extraño más voy jajaja llorar
882,Meu eu dos gradas jajaja deus que pague barato nas cortejada UFPR in Rio pague 20 Bloquinho pague 35 1234 pague 75 Obrigado deus por me fazer uma pessoas desesperada de
883,@iHS91OTB encima me dijo q me prefería cuando estaba pan triste es re mala
884,Ando estresado o preocupado: Nadie:.... Yo: Me pongo jajaja barrer
885,"Me he puesto jajaja llorar del agobio y mis primeros pensamientos han sido: 1 - No tienes tiempo pa malgastarlo llorando. Aguantate hasta la entrega 2 - Te acabas de hacer el skin routine y seguro q las lágrimas afectan jajaja las cremas, para idiota En fin xd"
886,"También, cuando he salido de la ducha y me estaba secando, me he puesto jajaja hacer caras y me ha dado ansiedad por pensar lo que podría pensar alguien viéndome hacer esas caras 🤡🤡🤡"
887,@diojodior Mentira tenho memória ruim e ainda sou triste
888,siento un vacío en mi corazoncito
889,Wey me puso tan triste que con 2000 solo me alcanza para 5 panes T.T
890,Buenas noches. Estoy muy cansada 😪
891,"eu te sentido que vou ficar muito ansiosa amante, deus me ajuda por"
892,Dios la ansiedad ue tengo por marzo literal cada 5 min veo el calendario tanto falta para las vacaciones loko
893,"@Fernandokabulo5 @STF_oficial Deve estar medio preocupado com o desmentido do Presidente, indagara nos Pingos.. de"
894,eu sempre fui triste
895,literal mi hobby favorito llorar con videos de reencuentro
896,"como cualquier otro, sabe que tendrás miedos y quizá termines tan aterrada que querrás correr y llorar, tu tristeza no es algo que se pueda ignorar, siente orgullo de quién eres; Towa la princesa mitad demonio, poderosa no por el mismo poder demoniaco que"
897,"Me acabo de acordar de la vez que llegué al central con una crisis de ansiedad y los doctores dijeron no tiene nada, esta exagerado ” jajaja HDPTM 🙄"
898,"@_aramazi psicóloga, amiga kkkkkkkkkkkkkk é que jajaja bixinha ficou desesperada echando que tava fallando algum cae"
899,"Es una obra de arte, no sé la autoría pero mantenle una caguama. 🤣🤣🤣🤣 Parece broma, pero es un triste anecdota."
900,"Quando eu te ansiosa, nerviosa ou estresada me demanda uma fome, que no tem condições"
901,@comeria_com @Yasui1i Vc quer comer ela ou tá preocupado com jajaja cartera de vacinação delató? Kkk
902,@CFJoelma Aiiii aí ansioso JOELMA DANCE
903,@lizethselene_ cansada pero feliz y tu bb?
904,"meu instagram chelo de foto do fredo santana ha, eu to triste"
905,sabe o eh triste? voce sentir medo de gustar de alguém dev
906,"Ahora si mi mamá me quiere comprar la entrada, ya le dije q se agotó y dios de nuevo jajaja llorar"
907,Ansiosa 🥳🥳🥳❤️
908,Triste: (
909,@bwollves triste virus
910,@overwatchjk07 só precisa de mim pra petiso to triste
911,"He tenido un día demasiado productivo y no me siento cansada, más días así por favor. Se siente demasiado bien. 🥰🥰🥰🤩🤩🤩🤩"
912,@putadofelix EU TBM mas tenho poca gente pra ver eles mt triste isso
913,ansioso p ver as skins e flashes da ahi pis record obviamente eles no veo meter na florecer espiritual
914,Que notícia triste 😂
915,"quem gusta de tempo é refugio, eu te é cansado!!!!"
916,Cansado de quemadura de Sol
917,@kurapikacurtas eu to bem pq tá triste?
918,as vezes fico triste mas libro q sou logra do rabo aí tudo fica bem
919,hermanas la re ansiedad que pasé ayer y hoy en la mañana
